0 0 
156 156 1
156 156 1
155 153 1
155 155 1
155 155 1
153 153 2
155 155 2
156 155 2
153 153 2
156 153 2
155 153 2
153 152 3
156 155 3
156 155 3
153 152 3
155 153 3
153 152 3
155 153 3
155 155 3
153 153 4
156 155 4
156 156 4
153 155 4
156 155 4
156 155 4
155 153 4
156 156 4
155 156 4
153 155 4
155 155 4
156 155 4
155 153 4
156 155 4
156 155 4
155 152 4
156 155 4
155 155 4
153 152 5
156 155 5
156 156 5
155 155 5
155 155 5
156 155 5
153 153 5
156 155 5
156 155 6
153 153 6
155 156 6
155 153 6
155 156 6
156 155 6
155 153 7
156 156 7
156 156 7
153 153 7
155 156 7
155 155 7
153 153 7
155 155 7
155 153 7
152 153 7
153 155 7
155 155 7
153 152 7
155 153 8
155 155 8
155 152 8
155 153 8
155 155 8
152 152 8
155 153 8
153 153 9
152 152 9
153 153 9
153 153 9
152 152 9
155 153 9
153 153 9
152 152 10
155 153 10
153 152 10
155 153 10
155 153 10
152 152 10
153 153 10
155 155 10
152 152 10
153 153 10
155 155 10
152 152 10
155 153 10
153 153 10
152 151 10
153 153 10
153 153 11
152 151 11
153 153 11
152 152 11
151 151 11
153 153 12
153 153 12
152 151 12
152 152 12
152 152 12
151 151 12
153 152 13
153 153 13
151 151 13
152 152 13
153 152 13
151 151 13
152 152 13
151 150 13
152 152 13
152 152 13
150 150 14
152 151 14
152 151 14
150 150 14
152 151 14
151 151 15
150 150 15
151 151 15
151 151 15
150 148 15
151 150 15
152 150 15
150 148 16
151 150 16
151 150 16
148 148 16
150 150 16
151 150 16
150 147 16
151 150 16
151 150 16
148 147 16
151 150 16
151 148 16
148 147 16
150 150 16
151 148 16
148 147 16
150 148 16
150 147 16
151 148 16
151 148 16
148 147 16
150 148 16
150 148 17
148 148 17
150 148 17
151 148 17
148 147 17
150 150 17
150 147 17
147 146 17
148 148 17
150 148 17
147 146 17
150 148 17
150 148 17
147 146 17
148 147 17
148 148 17
147 146 17
150 148 18
150 147 18
147 146 18
148 147 18
148 148 18
147 146 19
150 147 19
148 146 19
148 145 19
148 146 20
147 146 20
148 146 20
148 146 20
146 145 21
148 146 21
147 145 21
146 145 21
147 145 21
147 145 21
146 143 21
147 145 21
146 145 21
146 143 21
147 145 21
146 145 21
145 143 21
146 143 21
146 145 21
145 142 21
146 143 22
147 145 22
145 143 22
146 143 22
146 143 22
143 142 22
146 142 23
147 143 23
145 141 23
146 142 23
145 142 23
145 141 23
146 141 24
145 140 24
146 142 24
146 141 24
143 138 24
146 141 24
145 141 24
143 138 24
145 140 24
146 141 24
143 140 24
146 140 24
145 141 24
143 138 24
145 140 24
146 140 24
143 138 24
145 141 24
145 140 24
143 138 24
145 140 24
143 140 24
143 137 24
143 140 24
145 138 24
142 138 24
145 140 25
145 140 25
143 138 25
145 140 25
143 140 25
142 137 25
143 138 25
141 137 25
142 138 25
143 138 25
142 138 26
143 138 26
143 140 26
142 137 26
142 138 26
143 137 26
141 136 26
142 137 26
142 137 26
141 135 26
142 137 26
142 137 26
141 136 26
142 137 26
142 137 26
141 136 26
142 137 26
142 137 26
141 136 26
142 137 26
142 137 26
141 136 26
142 137 26
142 136 26
140 135 26
143 137 27
142 137 27
141 133 27
142 122 27
141 122 27
141 128 27
142 131 27
141 132 27
141 133 27
142 135 27
140 133 27
141 135 27
142 135 27
140 133 27
141 135 27
141 135 27
140 133 27
141 136 26
141 130 26
141 115 26
141 117 26
141 123 26
140 127 26
141 132 26
142 133 26
141 133 25
142 136 25
142 137 25
141 135 25
143 137 25
143 137 25
141 137 25
143 138 25
143 138 24
142 137 24
143 138 24
142 137 24
143 140 24
143 138 23
142 138 23
145 140 23
145 140 23
143 140 23
145 141 23
145 141 23
143 140 23
146 142 23
146 141 23
143 141 23
145 142 23
146 141 23
145 141 23
145 142 23
145 141 23
143 141 22
146 141 22
145 142 22
143 140 22
146 142 21
145 141 21
143 140 21
146 142 21
146 143 21
145 142 21
147 143 21
146 143 21
145 143 21
146 145 21
146 143 21
146 145 21
146 143 21
145 142 21
146 145 21
146 143 20
145 143 20
146 143 20
146 143 20
